chem_id,smiles,T
chemical_037_5,CC(=O)I,30
chemical_038_1,C=CC=O,-10
chemical_038_2,C=CC=O,0
chemical_038_3,C=CC=O,10
chemical_038_4,C=CC=O,20
chemical_038_5,C=CC=O,30
chemical_039_1,C=CC(=O)O,20
chemical_039_2,C=CC(=O)O,30
chemical_040_1,C=CC#N,-10
chemical_040_2,C=CC#N,0
chemical_040_3,C=CC#N,10
chemical_040_4,C=CC#N,20
chemical_040_5,C=CC#N,30
chemical_041_1,C=CCCO,-10
chemical_041_2,C=CCCO,0
chemical_041_3,C=CCCO,10
chemical_041_4,C=CCCO,20
chemical_041_5,C=CCCO,30
chemical_042_1,C=CCCN,-10
chemical_042_2,C=CCCN,0
chemical_042_3,C=CCCN,10
chemical_042_4,C=CCCN,20
chemical_042_5,C=CCCN,30
chemical_043_1,C=CCOCC,-10
chemical_043_2,C=CCOCC,0
chemical_043_3,C=CCOCC,10
chemical_043_4,C=CCOCC,20
chemical_043_5,C=CCOCC,30
chemical_044_1,C=CCOCC1CO1,-10
chemical_044_2,C=CCOCC1CO1,0
chemical_044_3,C=CCOCC1CO1,10
chemical_044_4,C=CCOCC1CO1,20
chemical_044_5,C=CCOCC1CO1,30
chemical_045_1,C=CCN=C=S,-10
chemical_045_2,C=CCN=C=S,0
chemical_045_3,C=CCN=C=S,10
chemical_045_4,C=CCN=C=S,20
chemical_045_5,C=CCN=C=S,30
chemical_046_1,COc1cc(CC=C)ccc1O,0
chemical_046_2,COc1cc(CC=C)ccc1O,10
chemical_046_3,COc1cc(CC=C)ccc1O,20
chemical_046_4,COc1cc(CC=C)ccc1O,30
chemical_047_1,C=CC[Si](Cl)(Cl)Cl,-10
chemical_047_2,C=CC[Si](Cl)(Cl)Cl,0
chemical_047_3,C=CC[Si](Cl)(Cl)Cl,10
chemical_047_4,C=CC[Si](Cl)(Cl)Cl,20
chemical_047_5,C=CC[Si](Cl)(Cl)Cl,30
chemical_048_1,CC(O)CN,-10
chemical_048_2,CC(O)CN,0
chemical_048_3,CC(O)CN,10
chemical_048_4,CC(O)CN,20
chemical_048_5,CC(O)CN,30
chemical_049_1,COc1ccccc1,-10
chemical_049_2,COc1ccccc1,0
chemical_049_3,COc1ccccc1,10
